snes-05418	Michael Jordan will drop the price of all Air Jordan shoes to $19.99 in 2017.	false	https://www.snopes.com/fact-check/air-jordans-price-drop/	None	Junk News	None	Dan Evon	None	FALSE: Michael Jordan Lowers Price of Air Jordan Shoes to $19.99	4 January 2016	None	['Michael_Jordan', 'Air_Jordan']
snes-02734	Paul Ryan said that he would not stop until he destroyed health care in America.	mixture	https://www.snopes.com/fact-check/paul-ryan-destroy-health-care/	None	Fauxtography	None	Dan Evon	None	Did Paul Ryan Say He Wants to Destroy Health Care?	24 March 2017	None	['United_States', 'Paul_Ryan']
snes-04698	A video shows Muslims rampaging through Paris.	false	https://www.snopes.com/fact-check/paris-muslim-siege-false/	None	Immigration	None	Dan Evon	None	Paris Under Muslim Siege	27 May 2016	None	['None']
snes-05560	Two photographs of the earth taken by NASA in 1978 and 2012 document the dramatic effects of deforestation in North America.	false	https://www.snopes.com/fact-check/nasa-deforestation-images/	None	Fauxtography	None	Dan Evon	None	Do NASA Photographs Show Deforestation in North America?	26 October 2015	None	['None']
snes-05606	A gang of Muslim women beat up a French bikini-clad woman because her swimwear violated their religious beliefs.	false	https://www.snopes.com/fact-check/muslim-bikini/	None	Crime	None	Dan Evon	None	Gang of Muslim Women Beat a Lady for Wearing Bikini	30 July 2015	None	['France', 'Islam']
snes-03573	Restaurant chains are offering free meals to U.S. military personnel in conjunction with Veterans Day.	true	https://www.snopes.com/fact-check/free-meals-for-veterans/	None	Inboxer Rebellion	None	David Mikkelson	None	Free Meals for Veterans	11 November 2014	None	['United_States', 'Veterans_Day']
snes-06320	Texas' is the only state flag authorized to be flown at the same height as the U.S. national flag.	false	https://www.snopes.com/fact-check/high-flier/	None	History	None	David Mikkelson	None	Texas Flag Flies at the Same Height as the U.S. Flag	29 July 2003	None	['United_States', 'Texas']
snes-01498	Did Morgan Freeman Say 'Jailing Hillary' Is the Best Way to 'Restore Public Faith' in Government?	false	https://www.snopes.com/fact-check/morgan-freeman-jailing-hillary-restore-faith/	None	Junk News	None	Dan Evon	None	Did Morgan Freeman Say ‘Jailing Hillary’ Is the Best Way to ‘Restore Public Faith’ in Government?	31 October 2017	None	['None']
snes-04953	A woman sliced a rapist's genitals off and forced him to eat them.	false	https://www.snopes.com/fact-check/woman-forces-genitals-eat/	None	Uncategorized	None	Kim LaCapria	None	Woman Slices Off Rapist’s Genitals, Forces Him to Eat It at Gunpoint	6 April 2016	None	['None']
snes-04382	Evangelist Franklin Graham warned Christians that they would face death camps if they didn't support Donald Trump.	false	https://www.snopes.com/fact-check/graham-christian-death-camps/	None	Junk News	None	Dan Evon	None	Graham Says Christians Must Support Trump or Face Death Camps	25 July 2016	None	['Donald_Trump']
snes-02506	A plaque displayed on a golf course owned by President Trump commemorates a Civil War battle that never happened.	true	https://www.snopes.com/fact-check/donald-trump-civil-war-monument/	None	Politics	None	Kim LaCapria	None	Trump Golf Course Commemorates a Civil War Battle That Never Happened?	3 May 2017	None	['None']
snes-04026	A Doonesbury comic from 1999 predicted Donald Trump's presidential run in 2016.	mixture	https://www.snopes.com/fact-check/doonesbury-predicted-trump/	None	Politicians	None	Dan Evon	None	‘Doonesbury’ Predicted Trump’s 2016 Presidential Run?	15 September 2016	None	['Donald_Trump']
snes-00149	A photograph captures an unusually short, stocky giraffe.	false	https://www.snopes.com/fact-check/short-giraffe-photo/	None	Fauxtography	None	Dan Evon	None	Is This a Picture of an Unusually Short Giraffe?	29 August 2018	None	['None']
snes-02389	Former Fox News host Bill O'Reilly was found dead on Long Island.	false	https://www.snopes.com/fact-check/bill-oreilly-found-dead/	None	Junk News	None	Kim LaCapria	None	Bill O’Reilly Found Dead at His Long Island Home?	22 May 2017	None	['Long_Island', 'Fox_News_Channel', '[21', '13', '"Bill_O\\\'Reilly_(political_commentator)"']
snes-02762	Eating Takis brand corn chips causes ulcers and cancer in children.	mixture	https://www.snopes.com/fact-check/corn-snuffs/	None	Food	None	David Mikkelson	None	Do Takis Brand Corn Chips Cause Ulcers and Cancer in Children?	7 June 2013	None	['None']
snes-01593	Since 1968, more Americans have been killed by guns than have been killed in all wars in U.S. history.	mostly true	https://www.snopes.com/fact-check/gun-deaths-wars/	None	History	None	Dan MacGuill	None	Do U.S. Gun Deaths Since 1968 Outnumber Deaths in All American Wars?	12 October 2017	None	['United_States']
snes-03772	Sen. Bernie Sanders said the election was "rigged" and "unendorsed" Hillary Clinton	mostly false	https://www.snopes.com/fact-check/bernie-sanders-rigged-unendorse/	None	Ballot Box	None	Kim LaCapria	None	Bernie Sanders Suggests Election Is Rigged, Unendorses Hillary Clinton	18 October 2016	None	['Bernie_Sanders']
snes-02088	A photograph shows an electric car charging in 1905.	mostly true	https://www.snopes.com/fact-check/electric-car-1905/	None	Fauxtography	None	Dan Evon	None	Is this Really an Electric Car From 1905?	10 July 2017	None	['None']
snes-00112	Actor Danny Trejo has passed away at age 74.	false	https://www.snopes.com/fact-check/danny-trejo-passing/	None	None	None	David Mikkelson	None	Danny Trejo Death Hoax	10 September 2018	None	['None']
snes-05103	Donald Trump tweeted an image of his genitals following penis-related banter at a Republican debate.	false	https://www.snopes.com/fact-check/trump-tweets-photo-genitals/	None	Junk News	None	Kim LaCapria	None	Donald Trump Tweets a Photo of His Private Parts?	8 March 2016	None	['Republican_Party_(United_States)', 'Donald_Trump']
snes-04475	The Burger King fast food chain "admitted it has been selling burgers that contain horsemeat."	false	https://www.snopes.com/fact-check/burger-king-admits-burgers-contain-horsemeat/	None	Food	None	David Mikkelson	None	Did Burger King Admit Their Burgers Contain Horsemeat?	11 July 2016	None	['Burger_King']
snes-06008	Facebook will be working with the DEA to monitor all Facebook posts for indications of drug use.	false	https://www.snopes.com/fact-check/facebook-drug-task-force/	None	Uncategorized	None	David Mikkelson	None	Facebook Drug Task Force	14 August 2014	None	['Facebook']
snes-01745	A mutation known Alexandria's Genesis turns people into 'perfect human beings' who exhibit purple eyes six months after birth.	false	https://www.snopes.com/fact-check/alexandrias-genesis/	None	Viral Phenomena	None	Dan Evon	None	Alexandria’s Genesis	6 February 2015	None	['None']
snes-04371	Disney is replacing the "Tower of Terror" attraction with a "Guardians of the Galaxy" themed ride at their Disney California Adventure Park.	true	https://www.snopes.com/fact-check/disneys-tower-of-terror-being-replaced-with-guardians-of-the-galaxy/	None	Disney	None	Kim LaCapria	None	Disney’s ‘Tower of Terror’ Being Replaced with ‘Guardians of the Galaxy’	27 July 2016	None	['Disney_California_Adventure', 'The_Walt_Disney_Company']
snes-00639	Did Congress Eliminate All Senior and Veterans Discounts?	false	https://www.snopes.com/fact-check/senior-and-veterans-discounts/	None	Junk News	None	David Mikkelson	None	Did Congress Eliminate All Senior and Veterans Discounts?	8 May 2018	None	['None']
snes-01665	The Guggenheim Museum planned to host a Chinese art exhibition that included three installations condemned as cruel to animals.	true	https://www.snopes.com/fact-check/guggenheim-animals/	None	Critter Country	None	Dan MacGuill	None	Did the Guggenheim Museum Plan to Host Exhibits Criticized by Some as Cruel to Animals?	26 September 2017	None	['China', 'Solomon_R._Guggenheim_Museum']
snes-04210	Jean Hilliard made a full recovery after she was found frozen in sub-zero temperatures.	true	https://www.snopes.com/fact-check/miracle-on-ice/	None	Medical	None	David Mikkelson	None	Jean Hilliard: Miracle on Ice	18 February 2015	None	['None']
snes-01935	Elizabeth II is abdicating her throne and giving the crown to Prince William	false	https://www.snopes.com/fact-check/queen-elizabeth-retires/	None	Junk News	None	Dan Evon	None	Queen Elizabeth II Passes on Crown as She Retires?	11 October 2016	None	['Elizabeth_II']
snes-06267	Photograph shows a Christmas card featuring a family photograph taken in jail.	miscaptioned	https://www.snopes.com/fact-check/jingle-bail/	None	Holidays	None	David Mikkelson	None	‘Merry Christmas from Behind Bars’ Holiday Card?	24 December 2011	None	['None']
snes-03469	A Mexican mother's young son was recently poisoned by topical application of Vicks VapoRub.	unproven	https://www.snopes.com/fact-check/baby-dies-of-vicks-vaporub-poisoning/	None	Medical	None	Kim LaCapria	None	Baby Dies of Vicks VapoRub Poisoning?	28 November 2016	None	['Mexico']
snes-04595	A new penile implant notifies spouses via cell phone alerts when their husbands are cheating on them.	false	https://www.snopes.com/fact-check/implant-cheating-spouse-alert/	None	Junk News	None	Dan Evon	None	New Implant Will Alert Your Cell Phone When ‘Your Man’ Is Cheating	16 June 2016	None	['None']
snes-01115	Fox News Channel was banned in Australia and New Zealand after being deemed "propaganda."	false	https://www.snopes.com/fact-check/fox-news-banned-australia-new-zealand/	None	Media Matters	None	David Emery	None	Fox News Banned as ‘Propaganda’ in Australia and New Zealand?	26 January 2018	None	['Australia', 'New_Zealand']
snes-04902	A new study published by Oxford University researchers proved that women with big butts are smarter and healthier.	mostly false	https://www.snopes.com/fact-check/oxford-butts-study/	None	Science	None	Kim LaCapria	None	Do Studies Show That Women with Big Butts are Smarter and Healthier?	18 April 2016	None	['University_of_Oxford']
snes-03753	Moderator Chris Wallace received a "cease and desist" letter from Trump about groping allegations in the midst of a presidential debate.	false	https://www.snopes.com/fact-check/chris-wallace-receives-cease-and-desist/	None	Uncategorized	None	Bethania Palma	None	Chris Wallace Receives Cease-and-Desist Letter from Trump Organization	20 October 2016	None	['None']
snes-00927	Former California state senator Leland Yee, a gun control advocate, was arrested for gun trafficking.	true	https://www.snopes.com/fact-check/was-yee-arrested-for-gun-trafficking/	None	Politics	None	Bethania Palma	None	Was Ex-California State Senator and Gun Control Advocate Leland Yee Arrested for Gun Trafficking?	5 March 2018	None	['California', 'Leland_Yee']
snes-01246	Were 22 Clinton Foundation Employees Arrested on First Day of FBI Investigation?	false	https://www.snopes.com/fact-check/22-clinton-foundation-employees-arrested/	None	Junk News	None	David Emery	None	Were 22 Clinton Foundation Employees Arrested on First Day of FBI Investigation?	8 January 2018	None	['None']
snes-03555	BBC's Carol Kirkwood used a curse word to describe the weather.	false	https://www.snopes.com/fact-check/bbc-weather-reporter-cursed/	None	Junk News	None	Dan Evon	None	No Sanction for BBC’s Carol Kirkwood Over ‘Cold as F*ck’ Weather Forecast	22 January 2016	None	['None']
snes-04704	Hillary Clinton's campaign created a #ManEnough4Hillary ad featuring a male model also associated with a syphilis PSA.	false	https://www.snopes.com/fact-check/hillary-clinton-used-model-from-syphilis-psa/	None	Fauxtography	None	Kim LaCapria	None	Hillary Clinton Used Model from Syphilis PSA?	26 May 2016	None	['None']
snes-00681	Over 500 members of a caravan of asylum seekers traveling through Mexico to the U.S. border at San Diego were arrested in possession of suicide belts.	false	https://www.snopes.com/fact-check/migrant-caravaners-suicide-vests/	None	Junk News	None	David Mikkelson	None	Were Over 500 ‘Migrant Caravaners’ Arrested with Suicide Vests?	1 May 2018	None	['United_States', 'Mexico', 'San_Diego']
snes-02591	The Massive Ordnance Air Blast, first used by the United States military in April 2017, is capable of releasing toxic radiation into the atmosphere on a global scale.	unproven	https://www.snopes.com/fact-check/moab-radioactive-fallout/	None	Science	None	Alex Kasprak	None	Could the ‘Mother of All Bombs’ Produce Radioactive Fallout?	17 April 2017	None	['United_States']
snes-00706	Did a Man Receive a $153,000 Hospital Bill After a Failed Selfie With a Rattlesnake?	true	https://www.snopes.com/fact-check/did-man-receive-153000-bill-rattlesnake/	None	Critter Country	None	Alex Kasprak	None	Did a Man Receive a $153,000 Hospital Bill After a Failed Selfie With a Rattlesnake?	27 April 2018	None	['None']
snes-02855	Several brands of baby wipes available in the U.S. were recalled in 2017 because they pose a risk of serious infection.	false	https://www.snopes.com/fact-check/baby-wipes-recall/	None	Medical	None	Kim LaCapria	None	Were Several Brands of Baby Wipes Recalled in 2017?	1 March 2017	None	['United_States']
snes-02786	Iowa high school students were forced to apologize for wearing red, white, and blue at a sports game because immigrant students on the opposing team were offended.	mixture	https://www.snopes.com/fact-check/iowa-students-apologize/	None	Uncategorized	None	Kim LaCapria	None	Were Iowa High School Students Forced to Apologize for Wearing Patriotic Colors?	13 March 2017	None	['None']
snes-03867	As Governor of Virginia, Tim Kaine fired five state police chaplains for praying in Jesus' name.	false	https://www.snopes.com/fact-check/tim-kaine-fired-police-chaplains/	None	Politics	None	David Emery	None	Tim Kaine Fired 5 State Police Chaplains for Praying in Jesus’ Name?	6 October 2016	None	['Jesus', 'Virginia']
snes-00598	Are People Adopting Pit Bull Terriers for the Sole Purpose of Euthanizing Them?	false	https://www.snopes.com/fact-check/are-people-adopting-pit-bulls-euthanizing/	None	Critter Country	None	Alex Kasprak	None	Are People Adopting Pit Bull Terriers for the Sole Purpose of Euthanizing Them?	14 May 2018	None	['None']
snes-06310	Women: Take off your clothes and scare terrorists!	false	https://www.snopes.com/fact-check/naked-women-scare-terrorists-rumor/	None	September 11th	None	David Mikkelson	None	Naked Women Scare Terrorists Rumor?	5 October 2001	None	['None']
snes-00635	North Korea is now allowing the open practice of Christianity.	false	https://www.snopes.com/fact-check/did-north-korea-open-doors-christianity/	None	Religion	None	Bethania Palma	None	Did North Korea Agree to ‘Open Its Doors’ to Christianity?	8 May 2018	None	['Christianity']
snes-01861	Has the Secret Service Gone 'Broke' Paying Agents to Protect the Trump Family?	mostly false	https://www.snopes.com/fact-check/secret-service-broke-trump/	None	Politics	None	Dan MacGuill	None	Has the Secret Service Gone ‘Broke’ Paying Agents to Protect the Trump Family?	22 August 2017	None	['None']
snes-02341	President Trump's lawyers sent a cease and desist letter to a cartoonist for using doctored images of the Trump family.	false	https://www.snopes.com/fact-check/berkeley-breathed-trump-letter/	None	Fauxtography	None	Kim LaCapria	None	Did President Trump’s Lawyers Send Berkeley Breathed a Cease and Desist Letter?	26 May 2017	None	['Donald_Trump']
snes-01041	A photograph shows a hermit crab using a human skull as a shell.	false	https://www.snopes.com/fact-check/hermit-crab-using-skull-shell/	None	Fauxtography	None	Dan Evon	None	Is This a Hermit Crab Using a Skull for a Shell?	9 February 2018	None	['None']
snes-04426	The Pokemon Go app is covertly passing information to Google Maps as well as the National Security Agency (NSA).	false	https://www.snopes.com/fact-check/pokemon-go-uploads-your-data-to-google-maps/	None	Conspiracy Theories	None	Kim LaCapria	None	Pokemon Go Uploads Your Data to Google Maps	18 July 2016	None	['National_Security_Agency']
snes-03420	Sarah Palin called for a Mall of America boycott over its hiring a black man to play Santa Claus.	false	https://www.snopes.com/fact-check/sarah-palin-calls-boycott-mall-america-santa-always-white-bible/	None	Junk News	None	Kim LaCapria	None	Sarah Palin Calls to Boycott Mall of America Because ‘Santa Was Always White in the Bible’	5 December 2016	None	['Sarah_Palin', 'Mall_of_America']
snes-05950	The car crash that killed Jayne Mansfield also decapitated her.	false	https://www.snopes.com/fact-check/jayne-mansfield/	None	Entertainment	None	Snopes Staff	None	Was Jayne Mansfield Decapitated?	3 January 2001	None	['Jayne_Mansfield']
snes-01287	In November 2017, the National Football League decided to end its donations to various existing charitable commitments and shifted that funding to the Black Lives Matter movement.	mostly false	https://www.snopes.com/fact-check/nfl-donations-black-lives-matter/	None	Sports	None	Dan MacGuill	None	Did the NFL Stop Donations to Breast Cancer and Military Charities in Order to Fund Black Lives Matter?	28 December 2017	None	['None']
snes-06403	On NBC’s Today program, Billy Graham’s daughter said to Bryant Gumbel that “We need to make up our mind — do we want God or do we not want Him . . . We cannot just ask Him in when disaster strikes.”	mixture	https://www.snopes.com/fact-check/where-is-god/	None	September 11th	None	David Mikkelson	None	Billy Graham’s Daughter’s Speech	3 October 2001	None	['God']
snes-01020	Mars, Incorporated released a "Pods" product shortly after the Tide Pod Challenge went viral in 2018.	mostly false	https://www.snopes.com/fact-check/did-mars-release-a-pod-product-in-the-wake-of-the-tide-pod-challenge-controversy/	None	Food	None	Dan Evon	None	Did a Candy Company Put Out an Edible Pod After the ‘Tide Pod Challenge’ Controversy?	14 February 2018	None	['None']
snes-05183	A study found that 80 percent of black men in Georgia were homosexual.	false	https://www.snopes.com/fact-check/80-percent-atlanta-gay/	None	Junk News	None	Kim LaCapria	None	80 Percent of Black Men in Atlanta are Gay?	19 February 2016	None	['None']
snes-04343	Common usage of the phrase "Always a bridesmaid but never a bride" originated with an advertising campaign for Listerine mouthwash.	true	https://www.snopes.com/fact-check/bridesmaid-revisited/	None	Language	None	David Mikkelson	None	Always a Bridesmaid, Never a Bride	10 May 2013	None	['None']
snes-00673	People who smell the perfume "Lovely" are killed either instantly or within three days.	false	https://www.snopes.com/fact-check/are-people-dying-exposure-perfume/	None	Viral Phenomena	None	Arturo Garcia	None	Are People Dying From Exposure to Sarah Jessica Parker’s Perfume?	2 May 2018	None	['None']
snes-00977	The NRA sent Wisconsin Supreme Court candidates a letter urging them to submit a "position statement" on gun rights, or risk opposition from NRA members in the state.	true	https://www.snopes.com/fact-check/nra-letter-wisconsin-judges/	None	Politics	None	Dan MacGuill	None	Did the NRA Ask Judicial Candidates for ‘Position Letters’ on Guns?	22 February 2018	None	['National_Rifle_Association', 'Wisconsin_Supreme_Court']
snes-04152	Mike Pence called for a condom ban because he said their use leads to abortions.	false	https://www.snopes.com/fact-check/mike-pence-condom-ban/	None	Junk News	None	Kim LaCapria	None	Mike Pence Calls for a Ban on Condoms Because ‘They Lead to Abortions’	29 August 2016	None	['Mike_Pence']
snes-04499	A video shows a "Stairway to Heaven" fireworks display.	true	https://www.snopes.com/fact-check/stairway-heaven-fireworks-display/	None	Fauxtography	None	Dan Evon	None	‘Stairway to Heaven’ Fireworks Display	7 July 2016	None	['None']
snes-03338	Hours after Massachusetts legalized recreational marijuana, the state had its first cannabis overdose.	false	https://www.snopes.com/fact-check/first-recorded-marijuana-overdose-occurs-hours-after-massachusetts-legalization/	None	Junk News	None	Kim LaCapria	None	First Recorded Marijuana Overdose Occurs Hours After Massachusetts Legalization?	15 December 2016	None	['Massachusetts']
snes-02169	Whoopi Goldberg was arrested following an FBI investigation into an alleged dog-breeding operation.	false	https://www.snopes.com/fact-check/whoopi-goldberg-puppy-mill/	None	Junk News	None	Arturo Garcia	None	Was Whoopi Goldberg Arrested for Running a ‘Puppy Mill’?	20 June 2017	None	['Federal_Bureau_of_Investigation', 'Whoopi_Goldberg']
snes-05135	New York state has legalized heroin.	false	https://www.snopes.com/fact-check/false-new-york-heroin/	None	Junk News	None	Dan Evon	None	No, New York State Hasn’t Legalized Heroin	1 March 2016	None	['None']
snes-01694	Tiger Nurses Piglets?	miscaptioned	https://www.snopes.com/fact-check/tiger-and-piglets/	None	Fauxtography	None	David Mikkelson	None	Do These Photographs Show a Tiger Nursing Piglets?	1 June 2006	None	['None']
snes-03013	Providing security for First Lady Melania Trump in New York City would cost double the amount it takes to fund the National Endowment for the Arts.	unproven	https://www.snopes.com/fact-check/melania-trump-nyc-costs/	None	Uncategorized	None	Arturo Garcia	None	Does Melania Trump’s NYC Security Cost Twice the NEA’s Budget?	2 February 2017	None	['New_York_City', 'National_Endowment_for_the_Arts']
snes-05210	Kim Kardashian wore a coat made from "South Russian Ovcharka dogs" to Kanye West's fashion show.	false	https://www.snopes.com/fact-check/kim-kardashian-dog-fur-coat/	None	Inboxer Rebellion	None	Dan Evon	None	Kim Kardashian Didn’t Wear a Dog Fur Coat	16 February 2016	None	['Kim_Kardashian']
snes-03015	Did a Pizza Hut Manager Disparage U.S. Servicemembers?	false	https://www.snopes.com/fact-check/caleb-lee-pizza-hut/	None	Military	None	Kim LaCapria	None	Did a Pizza Hut Manager Disparage U.S. Servicemembers?	2 February 2017	None	['None']
snes-00161	Arizona's governor has appointed Sheriff Joe Arpaio to fill the late John McCain's U.S. Senate seat.	false	https://www.snopes.com/fact-check/joe-arpaio-taking-over-mccains-seat/	None	Junk News	None	David Emery	None	Is Sheriff Joe Arpaio Taking Over John McCain’s Seat in the Senate?	28 August 2018	None	['John_McCain', 'United_States', 'Arizona', 'Joe_Arpaio']
snes-02882	The U.S. Supreme Court is deliberating a petition seeking to overturn the results of the 2016 presidential election due to purported Russian interference.	outdated	https://www.snopes.com/fact-check/scotus-nullify-the-2016-election/	None	Politics	None	Kim LaCapria	None	Is the Supreme Court Deciding Whether to Nullify the 2016 Election?	24 February 2017	None	['Russia']
snes-03356	A video shows a Muslim man kicking a woman down a set of stairs.	unproven	https://www.snopes.com/fact-check/muslim-pushed-woman-down-stairs/	None	Immigration	None	Dan Evon	None	Muslim Man Pushed Woman Down Stairs?	13 December 2016	None	['None']
snes-01042	Over the course of his career, Democratic Congressman Joe Kennedy has received $348,000 in campaign contributions from the pharmaceutical industry.	true	https://www.snopes.com/fact-check/joe-kennedy-pharma/	None	Politics	None	Dan MacGuill	None	Has Rep. Joe Kennedy Received $348,000 in Donations from the Pharmaceutical Industry?	2 February 2018	None	['Democratic_Party_(United_States)', 'Joseph_P._Kennedy,_Sr.']
snes-03829	An e-mail chain revealed by WikiLeaks documents that Hillary Clinton privately maintains an anti-marriage equality stance while publicly stating otherwise.	false	https://www.snopes.com/fact-check/hillary-clinton-secretly-opposes-equality/	None	Politics	None	Kim LaCapria	None	Does Hillary Clinton Still Secretly Oppose Marriage Equality?	11 October 2016	None	['WikiLeaks', 'Hillary_Rodham_Clinton']
snes-01967	McGregor vs. Mayweather Fight Off After Mayweather's Arrest?	false	https://www.snopes.com/fact-check/mcgregor-vs-mayweather-fight-called-off-after-mayweathers-arrest/	None	Fauxtography	None	Dan Evon	None	McGregor vs. Mayweather Fight Called Off After Mayweather’s Arrest?	3 August 2017	None	['None']
snes-05301	The "Be Like Bill" Facebook craze exposes users to malware and/or was borne of nefarious intent.	false	https://www.snopes.com/fact-check/be-like-bill/	None	Computers	None	Kim LaCapria	None	‘Be Like Bill’ Spreads Malware?	28 January 2016	None	['None']
snes-03487	A Nigerian infant was born with message written on her hands saying Jesus is coming back.	false	https://www.snopes.com/fact-check/nigerian-baby-born-with-message-of-christs-second-coming/	None	Junk News	None	Bethania Palma	None	Nigerian Baby Born With Message of Christ’s Second Coming?	23 November 2016	None	['Nigeria', 'Jesus']
snes-04304	A 12-year-old Wisconsin girl in died as a result of receiving the Gardasil HPV vaccine.	false	https://www.snopes.com/fact-check/girl-dies-gardasil-hpv-vaccine/	None	Medical	None	David Emery	None	Wisconsin Girl Dies as a Result of Receiving Gardasil HPV Vaccine	5 August 2016	None	['Wisconsin']
snes-02577	Russia has blackmail material on Utah Republican Rep. Jason Chaffetz, which is why he will not seek re-election.	unproven	https://www.snopes.com/fact-check/russia-kompromat-jason-chaffetz/	None	Uncategorized	None	Bethania Palma	None	Does Russia Have ‘Kompromat’ on Jason Chaffetz?	19 April 2017	None	['Russia', 'Utah']
snes-05244	A video shows a "weather reporter" getting smacked in the face by a flying fish during a television segment.	mixture	https://www.snopes.com/fact-check/woman-versus-fish/	None	Junk News	None	Brooke Binkowski	None	Woman Slapped in Face by Large Fish?	9 February 2016	None	['None']
snes-00660	The browser extension Honey provides coupons for online shoppers and enables consumers to accrue purchase rebates.	true	https://www.snopes.com/fact-check/honey-browser-extension/	None	Computers	None	Kim LaCapria	None	Does the Honey Browser Extension Work?	4 May 2018	None	['None']
snes-00471	Robert De Niro linked to a "prostitution ring that used children."	mostly false	https://www.snopes.com/fact-check/was-robert-deniro-child-trafficking-ring/	None	Junk News	None	Kim LaCapria	None	Was Robert De Niro Involved in a Child Sex Trafficking Ring?	12 June 2018	None	['None']
snes-04657	A photograph shows an orphan lying in the chalk outline of her absent mother.	miscaptioned	https://www.snopes.com/fact-check/orphan-chalk-outline/	None	Fauxtography	None	Dan Evon	None	Is This a Photograph of an Orphan Lying in Her Mother’s Chalk Outline?	4 June 2016	None	['None']
snes-05340	The red fox will scream when it finds its perfect mate.	false	https://www.snopes.com/fact-check/red-fox-soulmate-video/	None	Uncategorized	None	Dan Evon	None	A Red Fox Doesn’t Scream When It Finds Its Soulmate	20 January 2016	None	['None']
snes-02139	Women absorb and retain DNA from every man they have had sex with.	false	https://www.snopes.com/fact-check/women-retain-dna/	None	Science	None	Alex Kasprak	None	Do Women Retain DNA From Every Man They Have Ever Slept With?	26 June 2017	None	['None']
snes-00036	Another man was responsible for the assault that Christine Blasey Ford described as being perpetrated by Judge Brett Kavanaugh.	unproven	https://www.snopes.com/fact-check/another-man-ford-assault/	None	Politics	None	Alex Kasprak	None	Is Another Man Responsible for Christine Blasey Ford’s Assault?	28 September 2018	None	['None']
snes-01072	Did George Soros Say His Life’s Mission Is to Destroy the United States?	false	https://www.snopes.com/fact-check/george-soros-destroy-united-states/	None	Politics	None	David Emery	None	Did George Soros Say His Life’s Mission Is to Destroy the United States?	2 February 2018	None	['None']
snes-03437	Levi Strauss clothing stores have banned all guns.	mostly false	https://www.snopes.com/fact-check/levi-strauss-banned-guns-from-stores/	None	Guns	None	Dan Evon	None	Levi Strauss Banned Guns From Stores?	1 December 2016	None	['None']
snes-04560	The National Rifle Association launched a "Share the Safety" campaign, enabling people to donate guns to those who live in at-risk neighborhoods.	false	https://www.snopes.com/fact-check/share-the-safety-nra/	None	Guns	None	Dan Evon	None	‘Share the Safety’ Web Site Not Affiliated with the NRA	23 June 2016	None	['None']
