pose-00797	"Texas will continue to live within its means, and under my leadership, we will do it without a tax increase."	promise kept	https://www.politifact.com/texas/promises/perry-o-meter/promise/828/balance-the-budget-without-a-tax-increase/	None	perry-o-meter	Rick Perry	None	None	Balance the budget without a tax increase	2011-01-13T12:33:38	None	['Texas']
pose-01360	"Following unprecedented rainfall, decades of neglect, and compromised capacity, St. Petersburg’s sewer system was overwhelmed in 2015-2016. The Kriseman Infrastructure Plan calls for more than $300 million to repair and upgrade our system."	not yet rated	https://www.politifact.com/florida/promises/krise-o-meter/promise/1452/nvest-more-300-million-upgrade-citys-sewer-system/	None	krise-o-meter	Rick Kriseman	None	None	nvest more than $300 million to upgrade the city’s sewer system	2018-01-02T12:30:40	None	['None']
pose-00597	"Rick will fight to ensure than any future offshore drilling does not negatively impact Florida's beaches. As we explore the expansion of domestic drilling in the U.S., we must ensure that we have sound policies in place that ensure the companies drilling are doing so in an environmentally sound way and adhering to the strictest of safety standards."	promise broken	https://www.politifact.com/florida/promises/scott-o-meter/promise/621/explore-expansion-of-domestic-drilling-in-a-safe/	None	scott-o-meter	Rick Scott	None	None	Explore expansion of domestic drilling in a safe, environmentally sound way	2011-12-29T14:58:48	None	['United_States']
pose-00813	Offer businesses a tax incentive of $1,500 for each full-time employee who earns a high school diploma or GED. Business would be required to grant their employees two hours a week of paid time off to study or attend class.	promise broken	https://www.politifact.com/texas/promises/perry-o-meter/promise/845/provide-business-tax-credit-to-help-workers-get-hi/	None	perry-o-meter	Rick Perry	None	None	Provide business tax credit to help workers get high-school diplomas	2011-01-13T12:33:38	None	['General_Educational_Development']
pose-01124	"Be No. 1 in the nation for student performance by expecting all of our students to perform at or above grade level in math and reading."	stalled	https://www.politifact.com/florida/promises/scott-o-meter/promise/1210/be-no-1-nation-student-performance-reading-and-mat/	None	scott-o-meter	Rick Scott	None	None	Be No. 1 in nation for student performance in reading and math	2014-12-30T10:49:04	None	['None']
pose-01273	"We are going to ask every department head and government to provide a list of wasteful spending projects that we can eliminate in my first 100 days."	in the works	https://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1364/eliminate-wasteful-spending-every-department/	None	trumpometer	Donald Trump	None	None	Eliminate wasteful spending in every department	2017-01-17T08:50:47	None	['None']
pose-00529	Will lower the income tax. "I want to lower the tax on employers, lower the tax on income, freeze property taxes and phase out retirement income taxes. States that have a lower tax burden have more jobs and better budgets, and its time Wisconsin was a better state to do business.”	promise kept	https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/550/lower-the-income-tax/	None	walk-o-meter	Scott Walker	None	None	Lower the income tax	2010-12-20T23:16:36	None	['Wisconsin']
pose-01361	"For the first time, the city is comprehensively developing an Integrated Sustainability Action Plan (ISAP). The purpose of the ISAP is to advance the city's sustainability & resiliency initiatives including 100% clean energy goals."	not yet rated	https://www.politifact.com/florida/promises/krise-o-meter/promise/1453/facilitate-citys-transition-100-percent-clean-ener/	None	krise-o-meter	Rick Kriseman	None	None	Facilitate the city’s transition to 100 percent clean energy	2018-01-02T12:35:10	None	['None']
pose-00498	"The exchange will require that all the plans offered are at least as generous as the new public plan and meet the same standards for quality and efficiency."	promise broken	https://www.politifact.com/truth-o-meter/promises/obameter/promise/518/create-public-option-health-plan-new-national-heal/	None	obameter	Barack Obama	None	None	Create a public option health plan for a new National Health Insurance Exchange.	2010-01-07T13:27:01	None	['None']
pose-00782	"Nathan Deal will work to eliminate this regressive tax to allow businesses to grow absent this additional burden and layer of taxation by allowing local governments to elect to extend current Freeport exemptions to more goods, regardless of who holds the inventory or the destination to which it is shipped."	not yet rated	https://www.politifact.com/georgia/promises/deal-o-meter/promise/812/eliminate-business-inventory-tax/	None	deal-o-meter	Nathan Deal	None	None	Eliminate business inventory tax	2011-01-06T16:27:46	None	['Nathan_Deal']
pose-01313	"On my first day in office, I am also going to ask Congress to pass 'Kate’s Law' – named for Kate Steinle – to ensure that criminal aliens convicted of illegal re-entry receive strong mandatory minimum sentences."	in the works	https://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1405/have-mandatory-minimum-sentences-criminals-caught-/	None	trumpometer	Donald Trump	None	None	Have mandatory minimum sentences for criminals caught trying to enter the United States illegally	2017-01-17T09:11:52	None	['United_States_Congress']
pose-00562	Will stop Milwaukee-Madison high-speed rail line. said: "I am drawing a line in the sand Mr. President: No matter how much money you and Governor Doyle try to spend before the end of the year, I will put a stop to this boondoggle the day I take office."	promise kept	https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/585/stop-milwaukee-to-madison-high-speed-rail-link-on/	None	walk-o-meter	Scott Walker	None	None	Stop Milwaukee to Madison high-speed rail link on first day in office	2010-12-20T23:16:36	None	['None']
pose-00976	Virginia has four different types of publications to help create and expand a business...As governor, Bob McDonnell will combine all resources into one updated manual.	compromise	https://www.politifact.com/virginia/promises/bob-o-meter/promise/1011/consolidate-guides-for-business-creation-and-expan/	None	bob-o-meter	Bob McDonnell	None	None	Consolidate guides for business creation and expansion	2011-09-09T12:56:22	None	['Bob_McDonnell']
pose-00331	"Will expand the use of prizes for revolutionary technical achievements that can benefit society, and funds for joint industry/government rapid-to-the-consumer technology advances."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/348/offer-prizes-for-advances-in-consumer-technology/	None	obameter	Barack Obama	None	None	Offer prizes for advances in consumer technology	2010-01-07T13:26:55	None	['None']
pose-00108	Expand the number of "centers of excellence for Traumatic Brain Injury (TBI), PTSD, vision impairment, prosthetics, spinal cord injury, aging, women's health and other specialized rehabilitative care."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/113/expand-the-veterans-administrations-number-of-ce/	None	obameter	Barack Obama	None	None	Expand the Veterans Administration's number of "centers of excellence" in specialty care	2010-01-07T13:26:48	None	['Traumatic_brain_injury', 'Posttraumatic_stress_disorder']
pose-00722	Will "institute an aggressive water measurement program and water user education program geared toward 'water rights and responsibilities.'"	in the works	https://www.politifact.com/oregon/promises/kitz-o-meter/promise/752/create-water-measurement-program/	None	kitz-o-meter	John Kitzhaber	None	None	Create water measurement program	2011-01-04T21:58:42	None	['None']
pose-01291	"We will build a Navy of 350 surface ships and submarines as recommended by the bipartisan National Defense Panel."	in the works	https://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1383/rebuild-us-navy-toward-goal-350-ships/	None	trumpometer	Donald Trump	None	None	Rebuild the U.S. Navy toward the goal of 350 ships	2017-01-17T09:03:46	None	['None']
pose-00299	"Will further raise the minimum wage to $9.50 an hour by 2011, index it to inflation and increase the Earned Income Tax Credit to make sure that full-time workers can earn a living wage that allows them to raise their families and pay for basic needs such as food, transportation, and housing."	promise broken	https://www.politifact.com/truth-o-meter/promises/obameter/promise/316/increase-the-minimum-wage-to-950-an-hour/	None	obameter	Barack Obama	None	None	Increase the minimum wage to $9.50 an hour	2010-01-07T13:26:54	None	['None']
pose-00120	On "my first day in office, I would give the military a new mission: ending this war".	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/125/direct-military-leaders-to-end-war-in-iraq/	None	obameter	Barack Obama	None	None	Direct military leaders to end war in Iraq	2010-01-07T13:26:49	None	['None']
pose-00199	"Barack Obama and Joe Biden believe that we should channel most support for democratic activists living under the most repressive regimes through independent institutions, committed to supporting democrats but free from perceptions of questionable or ulterior motives. They will significantly increase funding for the National Endowment for Democracy (NED) and other nongovernmental organizations to support these civic activists."	compromise	https://www.politifact.com/truth-o-meter/promises/obameter/promise/214/significantly-increase-funding-for-the-national-en/	None	obameter	Barack Obama	None	None	Significantly increase funding for the National Endowment for Democracy (NED)	2010-01-07T13:26:51	None	['Joe_Biden', 'Barack_Obama']
pose-01354	Moving forward, Rick Kriseman will "redevelop the Tropicana Field site, with or without a new stadium, in order to bring targeted jobs, housing (including affordable or workforce housing), and hotel or convention space to St. Petersburg."	not yet rated	https://www.politifact.com/florida/promises/krise-o-meter/promise/1446/redevelop-trop-site-benefit-st-pete-residents/	None	krise-o-meter	Rick Kriseman	None	None	Redevelop the Trop site to benefit St. Pete residents	2018-01-02T12:10:42	None	['None']
pose-00953	"Bob McDonnell will have legislation introduced requiring all major executive branch boards and commissions to provide live streaming video on the Commonwealth's web site. Video files will be archived so that citizens can view them at their convenience."	promise broken	https://www.politifact.com/virginia/promises/bob-o-meter/promise/987/seek-video-streaming-of-meetings/	None	bob-o-meter	Bob McDonnell	None	None	Seek video streaming of meetings	2011-09-09T12:56:22	None	['Bob_McDonnell', 'Commonwealth_of_Nations']
pose-00455	"Will 'flip' incentives to utility companies by: requiring states to conduct proceedings to implement incentive changes; and offering them targeted technical assistance. These measures will benefit utilities for improving energy efficiency, rather than just from supporting higher energy consumption. This 'regulatory equity' starts with the decoupling of profits from increased energy usage, which will incentivize utilities to partner with consumers and the federal and state governments to reduce monthly energy bills for families and businesses. The federal government under an Obama administration will play an important and positive role in flipping the profit model for the utility sector so that shareholder profit is based on reliability and performance as opposed to total production."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/475/require-states-to-provide-incentives-for-utilities/	None	obameter	Barack Obama	None	None	Require states to provide incentives for utilities to reduce energy consumption	2010-01-07T13:26:59	None	['Barack_Obama']
pose-00830	"Areas of declining population loss create opportunities for a rebirth of neighborhoods by opening green space for recreation and community functions. Smart, coordinated, land use policy will be critical to our success. ... The County Planning Commission will be directed to coordinate with our communities and representative organizations, including First Suburbs and Northeast Ohio Mayors’ and Managers’ Association, to advance land-use planning policies to recognize current population trends, and use sustainability principles to grow our neighborhoods for long term health, prosperity and quality of life."	in the works	https://www.politifact.com/ohio/promises/fitz-o-meter/promise/862/make-vacant-land-green-space-and-brownfields-prod/	None	fitz-o-meter	Ed FitzGerald	None	None	Make vacant land, green space and brownfields productive	2011-01-20T13:56:11	None	['None']
pose-00906	"Bob will craft an ordinance in his first week that eliminates panhandling on major arterial and collector streets in Tampa."	promise broken	https://www.politifact.com/florida/promises/buck-o-meter/promise/938/offer-an-ordinance-in-his-first-week-to-eliminate/	None	buck-o-meter	Bob Buckhorn	None	None	Offer an ordinance in his first week to eliminate panhandling on major roadways	2011-05-18T14:33:25	None	['Tampa,_Florida']
pose-01084	As governor, I will immediately . . . Create an equal pay certification status that will be awarded to all Rhode Island businesses that show a commitment to equal pay practices. In order to earn this certification, a business must show that it adheres to state and federal level equal pay laws, and has internal policies which forbid discrimination on the basis of sex, and procedures in place to remedy discrimination complaints.	in the works	https://www.politifact.com/rhode-island/promises/gina-meter/promise/1167/create-equal-pay-certification-status-rhode-island/	None	gina-meter	Gina Raimondo	None	None	Create an equal pay certification status for Rhode Island businesses	2014-12-19T06:57:10	None	['Rhode_Island']
pose-01151	"The one-size-fits-all approach, mandated from Washington, D.C., and the Medicaid system, does not help Texas address the unique needs of the diverse population we have in this state."	promise broken	https://www.politifact.com/texas/promises/abbott-o-meter/promise/1241/fund-medicaid-block-grants/	None	abbott-o-meter	Greg Abbott	None	None	Fund Medicaid by block grants	2015-01-20T14:00:00	None	['Texas', 'Washington,_D.C.']
pose-00004	Will extend aspects of the Bush tax cuts such as child credit expansions and changes to marriage bonuses and penalties.	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/4/extend-child-tax-credits-and-marriage-penalty-fixe/	None	obameter	Barack Obama	None	None	Extend child tax credits and marriage-penalty fixes	2010-01-07T13:26:45	None	['None']
pose-01356	Moving forward, Rick Kriseman will "make parking easier in our downtown through technology and additional spaces and garages."	not yet rated	https://www.politifact.com/florida/promises/krise-o-meter/promise/1448/add-more-parking-downtown/	None	krise-o-meter	Rick Kriseman	None	None	Add more parking to downtown	2018-01-02T12:15:41	None	['None']
pose-00934	"Today I am renewing my call for the creation of a Miami-Dade County Illegal Gambling Task Force to work with local, state and federal law enforcement to address the proliferation of illegal gambling machines. These illicit slot-style machines are affecting our quality of life throughout the county; negatively impacting small, family-owned businesses; and stealing millions of dollars from our neediest residents. Most ominously, they are typically associated with organized crime."	promise broken	https://www.politifact.com/florida/promises/carlos-o-meter/promise/967/create-miami-dade-county-illegal-gambling-task-for/	None	carlos-o-meter	Carlos Gimenez	None	None	Create a Miami-Dade County Illegal Gambling Task Force	2011-07-14T16:13:36	None	['None']
pose-01014	Give independent contract workers "access to Department of Labor and Training (DLT) procedures to enforce wage claims."	promise broken	https://www.politifact.com/rhode-island/promises/linc-o-meter/promise/1093/give-independent-contract-workers-access-state-enf/	None	linc-o-meter	Lincoln Chafee	None	None	Give independent contract workers access to the state system to enforce wage claims.	2014-11-21T17:59:11	None	['None']
pose-01150	"Because this is strategic spending on certain areas, it should reduce the cost of health care in the state in the long term." Abbott specified his desire to spend $50 million more on women's health care.	promise kept	https://www.politifact.com/texas/promises/abbott-o-meter/promise/1240/focus-additional-spending-cancer-screenings-and-tr/	None	abbott-o-meter	Greg Abbott	None	None	Focus additional spending on cancer screenings and treatment for low-income Texans	2015-01-20T14:00:00	None	['None']
pose-00935	“I will create a Seniors First Trust Fund to assure that the elderly continue to have access to warm meals and I will extend the low-income seniors property tax rebate program of $100 for next year.”	compromise	https://www.politifact.com/florida/promises/carlos-o-meter/promise/968/create-seniors-first-trust-fund/	None	carlos-o-meter	Carlos Gimenez	None	None	Create Seniors First Trust Fund	2011-07-14T16:13:52	None	['None']
pose-01033	"Ending tax deductions for companies shipping jobs overseas, and using the saving to create a new tax credit for companies that bring jobs home."	promise broken	https://www.politifact.com/truth-o-meter/promises/obameter/promise/1113/end-tax-deductions-companies-offshore/	None	obameter	Barack Obama	None	None	End tax deductions for companies that offshore	2013-01-20T06:00:00	None	['None']
pose-01218	"As governor, I will work to bring back those jobs lost because of HB2."	in the works	https://www.politifact.com/north-carolina/promises/coop-o-meter/promise/1309/bring-back-jobs-lost-hb2/	None	coop-o-meter	Roy Cooper	None	None	Bring back jobs lost by HB2	2017-01-04T15:17:49	None	['None']
pose-00720	Will "simplify the existing complex and duplicative permit process for habitat restoration in a watershed by engaging all relevant parties in local decision-making."	not yet rated	https://www.politifact.com/oregon/promises/kitz-o-meter/promise/750/simplify-habitat-restoration-permit-process/	None	kitz-o-meter	John Kitzhaber	None	None	Simplify habitat restoration permit process	2011-01-04T21:58:42	None	['None']
pose-00146	"Establish transparency standards for military contractors. … Create the reporting requirements, accounting, and accountability needed for good governance and actual money savings with contracting."	compromise	https://www.politifact.com/truth-o-meter/promises/obameter/promise/158/establish-transparency-standards-for-military-cont/	None	obameter	Barack Obama	None	None	Establish transparency standards for military contractors	2010-01-07T13:26:50	None	['None']
pose-01349	"Cancel visas to foreign countries that won’t take them back."	in the works	https://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1441/cancel-visas-foreign-countries-wont-take-undocumen/	None	trumpometer	Donald Trump	None	None	Cancel visas to foreign countries that won't take undocumented immigrants back	2017-01-20T12:00:00	None	['None']
pose-00555	Will allow state to file or join lawsuits to block federal health care reform. Said Walker: "We're going to pursue any and all legal options we have to keep this from being imposed on the people and businesses of Wisconsin."	promise kept	https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/578/allow-state-to-file-or-join-lawsuits-to-block-fede/	None	walk-o-meter	Scott Walker	None	None	Allow state to file or join lawsuits to block federal health care reform	2010-12-20T23:16:36	None	['Wisconsin']
pose-00865	“If a lawsuit is frivolous, Texas judges should be able to dismiss the case immediately before the legal bills pile up.”	promise kept	https://www.politifact.com/texas/promises/perry-o-meter/promise/897/let-texas-judges-dismiss-frivolous-lawsuits/	None	perry-o-meter	Rick Perry	None	None	Let Texas judges dismiss frivolous lawsuits	2011-03-22T11:51:32	None	['Texas']
pose-00932	"For years, I have tried to get before the voters a charter amendment for two 4-year terms. In addition to offering more choices for voters, term limits eliminate the advantages of incumbency, break ties to special interests, improve the tendency for elected officials to vote their conscience rather than engage in quid pro quo, and open the door to fresh thinking and new ideas. In short, term limits inhibit political careerism. One of my goals as county mayor would be to make sure an 'eight is enough' law is irrevocably put in place."	promise kept	https://www.politifact.com/florida/promises/carlos-o-meter/promise/965/create-term-limits/	None	carlos-o-meter	Carlos Gimenez	None	None	Create term limits	2011-07-14T16:13:11	None	['None']
pose-00347	"Will professionalize and depoliticize the appointment of FEMA's director. Like the Director of the Federal Bureau of Investigation, the FEMA Director will have a fixed term of office to insulate him or her from politics. The FEMA Director will report directly to President Obama, serve a six-year term and will have professional emergency management experience."	compromise	https://www.politifact.com/truth-o-meter/promises/obameter/promise/365/appoint-experienced-disaster-official-to-head-fema/	None	obameter	Barack Obama	None	None	Appoint experienced disaster official to head FEMA	2010-01-07T13:26:56	None	['Barack_Obama', 'Federal_Bureau_of_Investigation']
pose-00745	Says he will "skinny-down state bureaucracy to ensure taxpayers are getting their money’s worth, and reform state government into a 21st century partner with Ohio's job creators – not one that punishes business with outdated or unnecessary regulation."	in the works	https://www.politifact.com/ohio/promises/kasich-o-meter/promise/775/shrink-state-government-and-make-it-more-efficient/	None	kasich-o-meter	John Kasich	None	None	Shrink state government and make it more efficient	2011-01-07T15:00:10	None	['Ohio']
pose-00271	"Will remove incentives to enter the country illegally by cracking down on employers who hire undocumented immigrants."	compromise	https://www.politifact.com/truth-o-meter/promises/obameter/promise/287/crack-down-on-employers-who-hire-undocumented-immi/	None	obameter	Barack Obama	None	None	Crack down on employers who hire undocumented immigrants	2010-01-07T13:26:54	None	['None']
