snes-00726	A Democratic candidate for Ohio governor revealed he received $20,000 from a pro-Assad group.	true	https://www.snopes.com/fact-check/ohio-candidate-pro-assad-group/	None	Politics	None	Bethania Palma	None	Did an Ohio Gubernatorial Candidate Accept $20,000 from a Pro-Assad Group?	23 April 2018	None	['Ohio', 'Democratic_Party_(United_States)']
snes-04802	Ted Cruz blamed God for his failed presidential campaign on Twitter.	false	https://www.snopes.com/fact-check/ted-cruz-blames-god-twitter/	None	Uncategorized	None	Dan Evon	None	Ted Cruz Blames God for Defeat in Epic Twitter Meltdown	6 May 2016	None	['Ted_Cruz', 'God']
snes-03810	Wikileaks’ dump of John Podesta’s e-mails reveal conversations he had with a former NASA astronaut about the existence of aliens, alien technology, and space warfare.	mixture	https://www.snopes.com/fact-check/john-podesta-discussed-alien-technology-with-former-nasa-astronaut/	None	Fauxtography	None	Alex Kasprak	None	Leaked E-mails Show John Podesta Discussed Alien Technology with Former NASA Astronaut	13 October 2016	None	['None']
snes-04937	Ted Cruz and his wife are cousins.	false	https://www.snopes.com/fact-check/false-ted-cruz-married-cousin/	None	Junk News	None	Dan Evon	None	Ted Cruz Is Married to His Cousin	11 April 2016	None	['Ted_Cruz']
snes-04762	A man claiming to be transgender allegedly assaulted a young girl in a Chicago restroom.	mostly false	https://www.snopes.com/fact-check/man-choked-girl-bathroom-transgender/	None	Crime	None	Kim LaCapria	None	Man Choked Girl in Bathroom Claiming Transgender Access Rights	16 May 2016	None	['Chicago']
snes-01877	Vigilante Protesters Digging Up Confederate Graves after Charlottesville Clashes?	mostly false	https://www.snopes.com/fact-check/are-vigilante-protesters-digging-up-confederate-graves/	None	Politics	None	Kim LaCapria	None	Are Vigilante Protesters Digging Up Confederate Graves After Charlottesville Clashes?	19 August 2017	None	['None']
snes-06375	Watch Night church services began in 1862 with blacks awaiting the enactment of the Emancipation Proclamation of New Year's Day, 1863.	false	https://www.snopes.com/fact-check/watch-night/	None	Holidays	None	Snopes Staff	None	The Origins of Watch Night	13 December 2006	None	['None']
snes-04661	It's possible to tattoo the whites of your eyes.	true	https://www.snopes.com/fact-check/eyeball-tattoos/	None	Junk News	None	Brooke Binkowski	None	Eyeball Tattoos	3 June 2016	None	['None']
snes-04424	Melania Trump suggested her husband could "make peace with the blacks" by increasing their food stamp payments.	false	https://www.snopes.com/fact-check/melania-make-peace-with-the-blacks/	None	Junk News	None	David Mikkelson	None	How to ‘Make Peace with the Blacks’	19 July 2016	None	['None']
snes-01713	An Oklahoma City McDonald's outlet was caught with horse meat and human meat in their freezers.	false	https://www.snopes.com/fact-check/swap-meat/	None	Media Matters	None	Dan Evon	None	McDonald’s Exposed for Using Human Meat?	7 April 2014	None	['None']
snes-02177	Did Robert Mueller Say He Supported a 'One-World Government'?	misattributed	https://www.snopes.com/fact-check/robert-mueller-one-world-government-quote/	None	Politics	None	Arturo Garcia	None	Did Robert Mueller Say He Supported a ‘One-World Government’?	20 June 2017	None	['None']
snes-03741	Mail-in ballots require additional stamps and will not be counted if affixed postage is insufficient.	mixture	https://www.snopes.com/fact-check/mailed-ballots-require-extra-postage/	None	Ballot Box	None	Kim LaCapria	None	Some Mail-In Ballots Require Extra Postage?	21 October 2016	None	['None']
snes-05101	Netflix released a promotional image for its upcoming series "Home Improvementer".	false	https://www.snopes.com/fact-check/netflix-home-improvement-reboot/	None	Entertainment	None	Dan Evon	None	Promo for New Netflix Series ‘Home Improvementer’ Is Fake	8 March 2016	None	['None']
snes-04531	A family in Mexico named their baby daughter "Breksit," after the results of Britain's EU referendum.	false	https://www.snopes.com/fact-check/mexican-names-baby-brexit/	None	Language	None	Brooke Binkowski	None	Mexican Family Names Newborn After ‘Brexit’	29 June 2016	None	['United_Kingdom', 'Mexico']
snes-02851	Did Whoopi Goldberg Say 'Military Widows Love Their 15 Minutes in the Spotlight?'	false	https://www.snopes.com/fact-check/whoopi-goldberg-military-widows/	None	Junk News	None	Dan Evon	None	Did Whoopi Goldberg Say ‘Military Widows Love Their 15 Minutes in the Spotlight?’	2 March 2017	None	['None']
snes-00449	The famous children's character "Winnie the Pooh" is a female bear.	mostly false	https://www.snopes.com/fact-check/winnie-pooh-actually-girl/	None	Disney	None	Dan Evon	None	Is Winnie the Pooh Actually a Girl?	18 June 2018	None	['None']
snes-03073	Crowd Control	false	https://www.snopes.com/fact-check/mike-pence-conservatives-womens-march/	None	Politicians	None	Arturo Garcia	None	Did Mike Pence Say Trump Supporters Made Up ‘More Than Half’ of Womens’ March?	24 January 2017	None	['None']
snes-02897	President Trump signed an executive order cutting off welfare to "deadbeats, drug addicts and scam artists."	false	https://www.snopes.com/fact-check/trump-restricting-welfare-for-deadbeats/	None	Junk News	None	Kim LaCapria	None	Did President Trump Sign a Law Restricting Welfare for ‘Deadbeats’?	21 February 2017	None	['None']
snes-02402	Did Richard Nixon Write a Letter Predicting Donald Trump's Success in Politics?	true	https://www.snopes.com/fact-check/nixon-predicted-trump-success/	None	Politics	None	David Emery	None	Did Richard Nixon Write a Letter Predicting Donald Trump’s Success in Politics?	18 May 2017	None	['None']
snes-05661	European Royals aren killing naked children for fun at human hunting parties.	false	https://www.snopes.com/fact-check/hunting-license/	None	Politics	None	David Mikkelson	None	Are European Royals Killing Naked Children for Fun at Human Hunting Parties?	10 June 2015	None	['None']
snes-03427	A photograph shows a young blue-eyed boy who was beaten up by a Muslim because of his eye color.	false	https://www.snopes.com/fact-check/muslim-beats-boy-for-having-blue-eyes/	None	Fauxtography	None	Dan Evon	None	Muslim Beats Boy for Having Blue Eyes?	2 December 2016	None	['None']
snes-05355	'Scarface' is being remade with Leonardo DiCaprio cast as Tony Montana.	false	https://www.snopes.com/fact-check/scarface-remake-leonardo-dicaprio/	None	Junk News	None	Kim LaCapria	None	Scarface Remake Starring Leonardo DiCaprio?	15 January 2016	None	['Leonardo_DiCaprio', 'Tony_Montana']
snes-05807	Dr. Leon Eisenberg, the ‘father’ of ADHD, said just before his death that ADHD ‘is a prime example of a fictitious disease.’	mostly true	https://www.snopes.com/fact-check/work-of-fiction/	None	Quotes	None	David Mikkelson	None	Dr. Leon Eisenberg: ADHD Is a ‘Fictitious Disease’?	17 May 2013	None	['None']
snes-00517	Obama and the FBI — Connect the Dots	mixture	https://www.snopes.com/fact-check/obama-fbi-connect-dots/	None	Politics	None	David Mikkelson	None	Obama and the FBI — Connect the Dots	3 June 2018	None	['Barack_Obama']
snes-04173	Mylan CEO Heather Bresch donated a large sum of money to the Clinton Foundation.	mostly false	https://www.snopes.com/fact-check/mylan-ceo-clinton-foundation/	None	Uncategorized	None	Bethania Palma	None	Mylan CEO Donated Money to the Clinton Foundation?	25 August 2016	None	['Clinton_Foundation', 'Heather_Bresch']
snes-00069	A photograph shows an elephant carrying a lion cub.	false	https://www.snopes.com/fact-check/elephant-carrying-lion-cub/	None	Fauxtography	None	Dan Evon	None	Is This a Photograph of an Elephant Carrying a Lion Cub?	18 September 2018	None	['None']
snes-03430	A video shows an "army-style Muslim migrants" marching in Germany to show their "willingness to fight."	false	https://www.snopes.com/fact-check/army-style-muslim-migrants-marching-to-fight-in-germany/	None	Fauxtography	None	Dan Evon	None	‘Army-Style Muslim Migrants’ Marching to Fight in Germany?	1 December 2016	None	['Germany', 'Islam']
snes-01358	Kirk Douglas Death	false	https://www.snopes.com/fact-check/kirk-douglas-death-hoax/	None	Junk News	None	Dan Evon	None	Kirk Douglas Death Hoax	7 December 2017	None	['None']
snes-04181	While collegiate athletes were sentenced lightly for serious crimes, a homeless mother was sentenced to five years in prison for enrolling her son in a Connecticut school.	mixture	https://www.snopes.com/fact-check/tanya-mcdowell-sentencing/	None	Politics	None	Kim LaCapria	None	Was a Woman Sentenced to Five Years for Sending Her Son to a Better School?	24 August 2016	None	['Connecticut']
snes-06436	A viral photograph shows President George W. Bush hugging the daughter of a 9/11 victim.	true	https://www.snopes.com/fact-check/a-presidential-hug/	None	Politicians	None	David Mikkelson	None	A Presidential Hug	11 June 2004	None	['George_W._Bush']
snes-06417	The Home Depot chain of stores is declining to do business with the federal government.	outdated	https://www.snopes.com/fact-check/home-despot/	None	Inboxer Rebellion	None	David Mikkelson	None	Home Depot and the Federal Government	29 June 2002	None	['The_Home_Depot']
snes-02798	HR 1313 would allow employers to force workers to disclose their genetic information	mixture	https://www.snopes.com/fact-check/genetic-testing-bill/	None	Uncategorized	None	Arturo Garcia	None	Does H.R. 1313 Require Employees to Submit to Genetic Testing?	10 March 2017	None	['None']
snes-04852	The city of Oxford, Alabama reacted to Target's transgender bathroom policy by making the described use of restrooms by transgender individuals punishable by jail time.	true	https://www.snopes.com/fact-check/oxford-alabama-transgender-bathrooms/	None	Legal	None	Kim LaCapria	None	Oxford Alabama Transgender Bathroom Ordinance	27 April 2016	None	['Alabama', 'Oxford']
snes-02534	President Bill Clinton is on his deathbed in Arkansas.	false	https://www.snopes.com/fact-check/bill-clinton-dying/	None	Junk News	None	Kim LaCapria	None	Is Bill Clinton on His Death Bed in Arkansas?	27 April 2017	None	['Bill_Clinton', 'Arkansas']
snes-01751	Did Jennifer Lawrence Say Hurricanes Are 'Nature's Wrath' Against Trump?	false	https://www.snopes.com/fact-check/jennifer-lawrence-hurricanes-trump/	None	Uncategorized	None	Bethania Palma	None	Did Jennifer Lawrence Say Hurricanes Are ‘Nature’s Wrath’ Against Trump?	11 September 2017	None	['None']
snes-03089	Donald Trump had a bust of Marin Luther King, Jr. removed from display in the Oval Office on his first day in the White House.	false	https://www.snopes.com/fact-check/mlk-bust-oval-office/	None	Politics	None	David Emery	None	Did President Trump Remove a MLK Bust from the Oval Office?	21 January 2017	None	['White_House', 'Donald_Trump', 'Oval_Office', 'Martin_Luther_King,_Jr.']
snes-05791	Kids are rubbing Burt's Bees lip balm on their eyelids to get high.	false	https://www.snopes.com/fact-check/kids-using-burts-bees-eyelids-get-high/	None	Horrors	None	David Mikkelson	None	Kids Using Burt’s Bees on Eyelids to Get High?	21 March 2015	None	['None']
snes-01828	Wendell Callahan Pardoned by Obama, Kills Three Victims?	mostly false	https://www.snopes.com/fact-check/wendell-callahan-meme/	None	Politics	None	Kim LaCapria	None	Wendell Callahan Pardoned by Obama, Kills Three Victims?	2 September 2016	None	['None']
snes-01085	The FDA has ruled that homeopathic drugs are now illegal.	false	https://www.snopes.com/fact-check/homeopathic-drugs-now-illegal/	None	Medical	None	Alex Kasprak	None	Are All Homeopathic Drugs Now Illegal?	1 February 2018	None	['None']
snes-03998	A woman had a dead kitten surgically removed from her vagina after inserting it to simulate the feeling of being pregnant.	false	https://www.snopes.com/fact-check/woman-has-dead-kitten-removed/	None	Junk News	None	Kim LaCapria	None	Woman Has Dead Kitten Removed from Vagina	19 September 2016	None	['None']
snes-06288	Fanta was invented by the Nazis.	false	https://www.snopes.com/fact-check/the-reich-stuff/	None	Business	None	Snopes Staff	None	Fanta and the Nazis	13 September 2004	None	['None']
snes-00466	Did Democrats Draft Legislation That Would Make Eating at Chick-fil-A a Hate Crime?	false	https://www.snopes.com/fact-check/chick-fil-a-crime-legislation/	None	Junk News	None	Dan Evon	None	Did Democrats Draft Legislation That Would Make Eating at Chick-Fil-A a Hate Crime?	13 June 2018	None	['None']
snes-02509	An image shows an anti-fascist protester duct-taped to an electrical box by neo-Nazis.	false	https://www.snopes.com/fact-check/duct-tape-antifa/	None	Fauxtography	None	Dan Evon	None	Did ‘Nazis’ Tape an Antifa Member to a Box?	2 May 2017	None	['Neo-Nazism']
snes-05191	Apple CEO Tim Cook wrote an open letter to customers explaining why the company was fighting a court order to unlock an iPhone tied to the San Bernardino attack.	true	https://www.snopes.com/fact-check/apple-letter-san-bernardino/	None	Business	None	Dan Evon	None	Apple CEO Tim Cook Writes Open Letter to Customers About Court Order	18 February 2016	None	['Tim_Cook', 'San_Bernardino,_California']
snes-06131	Abraham Lincoln issued a prophetic warning about the tyranny of capitalism.	false	https://www.snopes.com/fact-check/abraham-lincolns-capitalism-prophecy/	None	Questionable Quotes	None	David Mikkelson	None	Abraham Lincoln’s Capitalism Prophecy	1 July 2002	None	['None']
snes-03950	The wife of famous golfer blurted out on the air that she kisses her husband's balls for luck.	false	https://www.snopes.com/fact-check/balls-up-2/	None	Entertainment	None	David Mikkelson	None	‘I Kiss His Balls for Luck’	11 April 1999	None	['None']
snes-06188	An animal shelter will soon be closing or moving and will euthanize all the animals currently in their care that have not been adopted.	false	https://www.snopes.com/fact-check/shelter-closure/	None	Critter Country	None	David Mikkelson	None	Shelter Closure	1 June 2007	None	['None']
snes-01431	The United States will reverse restrictions on bringing back legally-hunted elephant trophies.	true	https://www.snopes.com/fact-check/elephant-trophy-import-ban-lifted/	None	Politics	None	Snopes Staff	None	United States to Reverse Ban on Wildlife Trophies?	16 November 2017	None	['United_States']
snes-02160	A meme accurately lists Democrats who have been involved in assassinations, assassination attempts, or mass shootings.	mostly false	https://www.snopes.com/fact-check/democrat-shooters-list/	None	Crime	None	Dan Evon	None	Is This List of Democrat Shooters Accurate?	22 June 2017	None	['None']
snes-05540	A photograph shows Red Cross nurses arriving on the beaches of Normandy on D-Day.	miscaptioned	https://www.snopes.com/fact-check/red-cross-nurse-normandy-beach/	None	Fauxtography	None	Dan Evon	None	Are These Red Cross Nurses Arriving on the Beaches of Normandy on D-Day?	12 November 2015	None	['Normandy', 'International_Red_Cross_and_Red_Crescent_Movement']
snes-00143	Ripon College banned a campus group's display of a poster commemorating 9/11 because "it may offend Muslims."	mostly false	https://www.snopes.com/fact-check/ripon-college-9-11-memorial/	None	College	None	Dan MacGuill	None	Did Ripon College Ban a 9/11 Memorial Because ‘It May Offend Muslims’?	31 August 2018	None	['None']
snes-02269	President Donald Trump in a Diaper?	false	https://www.snopes.com/fact-check/president-trump-in-diaper/	None	Politics	None	Dan Evon	None	Is This Donald Trump in a Diaper?	5 June 2017	None	['None']
snes-01269	Did Trump Change the Name of the 'Obama Highway' Back to the 'Old Dixie Highway?'	false	https://www.snopes.com/fact-check/trump-obama-highway-name-change/	None	Politics	None	Dan Evon	None	Did Trump Change the Name of the ‘Obama Highway’ Back to the ‘Old Dixie Highway?’	4 January 2018	None	['None']
snes-03500	A woman's IQ skyrocketed to an historic 220 after she drank sperm or semen for a year.	false	https://www.snopes.com/fact-check/woman-develops-iq-of-220-after-drinking-sperm-every-day-for-a-year/	None	Junk News	None	Kim LaCapria	None	Woman Develops IQ of 220 After Drinking Sperm Every Day for a Year	21 November 2016	None	['None']
snes-00686	Did Israel Drop a Tactical Nuclear Bomb on Syria?	false	https://www.snopes.com/fact-check/israel-nuclear-bomb-syria/	None	Junk News	None	Kim LaCapria	None	Did Israel Drop a Tactical Nuclear Bomb on Syria?	1 May 2018	None	['None']
snes-01078	Crayola's bathtub fingerpaint soap presents a burn risk.	unproven	https://www.snopes.com/fact-check/crayola-bathtub-fingerpaint-soap-warning/	None	Viral Phenomena	None	Kim LaCapria	None	Crayola Bathtub Fingerpaint Soap Warning	2 February 2018	None	['None']
snes-02286	Did Maxine Waters Use a Picture of the Tide Receding as Proof of Climate Change?	false	https://www.snopes.com/fact-check/maxine-waters-climate-change-tide-receding-photo/	None	Junk News	None	Dan Evon	None	Did Maxine Waters Use a Picture of the Tide Receding as Proof of Climate Change?	2 June 2017	None	['None']
snes-01310	Rosie O'Donnell bribed two senators to vote "no" on the GOP tax bill via Twitter.	mixture	https://www.snopes.com/fact-check/did-odonnell-offer-bribes-to-senators/	None	Politics	None	Alex Kasprak	None	Did Rosie O’Donnell Offer Bribes to Senators on Twitter?	22 December 2017	None	['Republican_Party_(United_States)', '[0', '15', '"Rosie_O\\\'Donnell"']
snes-04811	Baby drop off boxes have been installed in Indiana firehouses for parents to anonymously and legally surrender newborns.	true	https://www.snopes.com/fact-check/baby-drop-off-box/	None	Legal	None	Kim LaCapria	None	Baby Drop Off Box	4 May 2016	None	['Indiana']
snes-00880	Was a Student Suspended for Staying in Class During National Walkout Day?	mixture	https://www.snopes.com/fact-check/student-suspended-staying-in-class/	None	Politics	None	David Mikkelson	None	Was a Student Suspended for Staying in Class During National Walkout Day?	18 March 2018	None	['None']
snes-04259	106 people were killed at an ISIS-related California music festival bombing.	false	https://www.snopes.com/fact-check/106-dead-in-california-music-festival-bombing/	None	Junk News	None	Kim LaCapria	None	106 Dead In California Music Festival Bombing	12 August 2016	None	['None']
snes-01112	Farmers are injecting fruits and vegetables with the human hormone oxytocin to enhance their growth and appearance.	mixture	https://www.snopes.com/fact-check/farmers-injecting-oxytocin/	None	Food	None	Alex Kasprak	None	Are Farmers Injecting Fruits and Vegetables with Oxytocin?	26 January 2018	None	['None']
snes-00658	Images show a number of mutant sharks with two heads.	mostly false	https://www.snopes.com/fact-check/two-headed-sharks-terrorizing-ocean/	None	Fauxtography	None	Dan Evon	None	Are Two-Headed Sharks Terrorizing the Ocean?	4 May 2018	None	['None']
snes-02039	A photograph shows two men standing on a road in front of a tornado in Oklahoma in 1898.	mostly false	https://www.snopes.com/fact-check/1898-oklahoma-tornado/	None	Fauxtography	None	Dan Evon	None	Is This the 1898 Oklahoma Tornado?	19 July 2017	None	['Oklahoma']
snes-01931	A government grant will pay your utility bill in full for one month.	scam	https://www.snopes.com/fact-check/utility-bill-payment-scam/	None	Fraud & Scams	None	David Mikkelson	None	Utility Bill Payment Scam	31 May 2012	None	['None']
snes-01987	Elevation Church Pastor Steven Furtick confirmed he signed a large "deal" to preach at Lakewood Church alongside Joel Osteen.	false	https://www.snopes.com/fact-check/steven-furtick-signs-six-year-110-million-contract-lakewood-church/	None	Junk News	None	Kim LaCapria	None	Steven Furtick Signs Six Year, $110 Million Contract with Lakewood Church?	31 July 2017	None	['Joel_Osteen', 'Lakewood_Church']
snes-05234	Backers of Bernie Sanders have obtained Nazi SS "lightning bolt" tattoos to show support for the Democratic presidential candidate.	false	https://www.snopes.com/fact-check/bernie-sanders-ss-tattoo/	None	Politicians	None	Dan Evon	None	Bernie Sanders Supporters Get SS Tattoos?	11 February 2016	None	['Democratic_Party_(United_States)', 'Bernie_Sanders']
snes-02688	Former EPA Administrator Gina McCarthy said the Obama administration's Clean Power Plan would have little or no effect on carbon dioxide emissions.	mixture	https://www.snopes.com/fact-check/epa-clean-power-plan-no-effect/	None	Politics	None	David Emery	None	Did Obama’s EPA Director Say the Clean Power Plan Would Have ‘No Effect’ on Carbon Emissions?	3 April 2017	None	['Barack_Obama']
snes-06446	A photograph taken by the Hubble Space Telescope shows a nebula dubbed the 'Eye of God.'	mixture	https://www.snopes.com/fact-check/the-eye-of-god/	None	Fauxtography	None	David Mikkelson	None	The ‘Eye of God’ Photographed by Hubble Space Telescope	5 February 2004	None	['None']
snes-05623	Temple Baptist Church was built on land sold for fifty-seven cents, the amount saved by a little girl who had been turned away from its Sunday school.	legend	https://www.snopes.com/fact-check/57-varieties-of-truth/	None	Glurge Gallery	None	David Mikkelson	None	57 Varieties of Truth	16 December 1999	None	['None']
snes-00082	A photograph shows 26 corrupt politicians shortly before they were executed in China.	miscaptioned	https://www.snopes.com/fact-check/chinese-politicians-executed-photo/	None	Fauxtography	None	Dan Evon	None	Does This Photograph Show 26 ‘Corrupt’ Politicians Executed by China?	6 September 2018	None	['China']
snes-05927	Photographs show images of the Pearl Harbor attack taken by a sailor in December 1941 and recently found in an old Brownie camera stored in a foot locker.	miscaptioned	https://www.snopes.com/fact-check/pearl-harbor-photographs/	None	Fauxtography	None	David Mikkelson	None	Were Pearl Harbor Photographs Recently Found in an Old Camera?	9 November 2006	None	['None']
snes-03692	President Obama passed a law requiring grandparents to pick up pick up their grandchildren every weekend.	false	https://www.snopes.com/fact-check/grandparents-to-get-all-their-grandchildren-every-weekend/	None	Junk News	None	Dan Evon	None	Grandparents to ‘Get All Their Grandchildren Every Weekend’	27 October 2016	None	['Barack_Obama']
