snes-01605	Hugh Hefner paid $75,000 to be interred next to Marilyn Monroe in a Los Angeles cemetery.	true	https://www.snopes.com/fact-check/did-hugh-hefner-pay-to-be-buried-next-to-marilyn-monroe/	None	Entertainment	None	Arturo Garcia	None	Did Hugh Hefner Pay to be Interred Next to Marilyn Monroe?	10 October 2017	None	['Los_Angeles', 'Hugh_Hefner', 'Marilyn_Monroe']
snes-01277	The United States government has secretly negotiated a deal to return the U.S. territory of Puerto Rico to Spain.	false	https://www.snopes.com/fact-check/us-returning-puerto-rico-to-spain/	None	Junk News	None	David Emery	None	Is the United States Returning Puerto Rico to Spain?	2 January 2018	None	['United_States', 'Spain', 'Puerto_Rico']
snes-03396	Ben Carson said abortions led to baby ghosts haunting hospitals, stealing medical supplies, and increasing healthcare costs.	false	https://www.snopes.com/fact-check/ben-carson-abortions-create-baby-ghosts-haunt-hospitals/	None	Politics	None	Kim LaCapria	None	Ben Carson: ‘Abortions Create Baby Ghosts that Haunt Hospitals’	7 December 2016	None	['None']
snes-06161	A photograph captures a rare seven-headed snake found in the Honduras.	false	https://www.snopes.com/fact-check/7-headed-snake/	None	Fauxtography	None	David Mikkelson	None	Does This Photograph Show a 7-Headed Snake?	26 November 2013	None	['Honduras']
snes-03141	Michelle Obama's Secret Service detail abruptly quit during her Hawaii vacation and left her on the street.	false	https://www.snopes.com/fact-check/michelle-obama-ditched-by-secret-service/	None	Junk News	None	Dan Evon	None	Did Michelle Obama Get Ditched by Secret Service?	14 January 2017	None	['Hawaii', 'Michelle_Obama', 'United_States_Secret_Service']
snes-03740	An Oregon ballot lists Democratic presidential candidates twice but no Republican candidates.	false	https://www.snopes.com/fact-check/oregon-ballot-omits-donald-trump/	None	Uncategorized	None	Snopes Staff	None	Oregon Ballot Omits Donald Trump	21 October 2016	None	['Republican_Party_(United_States)', 'Democratic_Party_(United_States)', 'Oregon']
snes-02391	Country star Willie Nelson has died.	false	https://www.snopes.com/fact-check/willie-nelson-death-hoax/	None	Junk News	None	David Mikkelson	None	Willie Nelson Death Hoax	23 February 2015	None	['Willie_Nelson']
snes-03697	Video depicts Democrats committing fraud during the 2016 primary.	false	https://www.snopes.com/fact-check/voter-fraud-in-2016-primary/	None	Fauxtography	None	Kim LaCapria	None	Video Shows Democrats Committing Voter Fraud in 2016 Primary	26 October 2016	None	['Democratic_Party_(United_States)']
snes-01052	A series of images show a Tesla vehicle in space.	true	https://www.snopes.com/fact-check/tesla-car-really-space/	None	Fauxtography	None	Dan Evon	None	Is This Car Really in Space?	7 February 2018	None	['None']
snes-00482	A photograph of children in orange jumpsuits depicts detained immigrant children.	false	https://www.snopes.com/fact-check/are-children-orange-jumpsuits/	None	Fauxtography	None	Kim LaCapria	None	Are These Immigrant Children in Orange Jumpsuits?	11 June 2018	None	['None']
snes-04793	Facebook routinely suppresses conservative news in favor of liberal content.	unproven	https://www.snopes.com/fact-check/is-facebook-censoring-conservative-news/	None	Media Matters	None	Kim LaCapria	None	Is Facebook Censoring Conservative News?	9 May 2016	None	['None']
snes-06048	Photograph shows boxes of Tyson "[inverted] boneless pork rectums."	mostly true	https://www.snopes.com/fact-check/pig-in-a-poke/	None	Fauxtography	None	David Mikkelson	None	Inverted Boneless Pork Rectums	1 July 2014	None	['None']
snes-04012	Comedian Jeff Foxworthy slammed Hillary Clinton and was attacked by liberals.	false	https://www.snopes.com/fact-check/jeff-foxworthy-slams-hillary-clinton/	None	Uncategorized	None	Snopes Staff	None	Jeff Foxworthy Gets Attacked by Liberals After Publicly SLAMMING Hillary Clinton	17 September 2016	None	['None']
snes-00067	A videos shows the step-by-step process of making a lemon-pomegranate hybrid fruit.	false	https://www.snopes.com/fact-check/lemon-pomegranate-hybrid/	None	Fauxtography	None	Dan Evon	None	Does This Video Show a Lemon-Pomegranate Hybrid Plant?	18 September 2018	None	['None']
snes-02157	A sign posted in the London Underground informed passengers that they all smelled and should wear deodorant.	false	https://www.snopes.com/fact-check/london-underground-sign/	None	Fauxtography	None	Dan Evon	None	Is This a Real London Underground Sign?	22 June 2017	None	['None']
snes-01688	A video shows a group of unidentified flying objects over Oklahoma City.	false	https://www.snopes.com/fact-check/ufos-spotted-oklahoma-city/	None	Viral Phenomena	None	Dan Evon	None	Were UFOs Spotted Over Oklahoma City?	22 September 2017	None	['Oklahoma_City']
snes-00551	Was a Muslim Educator Named Superintendent of Atlanta’s Schools?	false	https://www.snopes.com/fact-check/muslim-educator-named-superintendent-atlantas-schools/	None	Junk News	None	Arturo Garcia	None	Was a Muslim Educator Named Superintendent of Atlanta’s Schools?	24 May 2018	None	['None']
snes-01482	Was Tiger Woods Ordered to Take 137 Paternity Tests?	false	https://www.snopes.com/fact-check/tiger-woods-paternity/	None	Junk News	None	Dan MacGuill	None	Was Tiger Woods Ordered to Take 137 Paternity Tests?	3 November 2017	None	['None']
snes-04042	Charmin had introduced a Pumpkin Spice variety of toilet paper.	false	https://www.snopes.com/fact-check/pumpkin-spice-charmin/	None	Fauxtography	None	Kim LaCapria	None	Does Charmin make Pumpkin Spice Bathroom Tissue?	13 September 2016	None	['None']
snes-03308	Viral Venom	mixture	https://www.snopes.com/fact-check/bee-venom-kills-hiv/	None	Medical	None	Alex Kasprak	None	Bee Venom Kills HIV	19 December 2016	None	['None']
snes-05786	Michigan government offices provide information in Arabic and allow polygamous Muslim men to apply for public assistance benefits for up to four wives.	mixture	https://www.snopes.com/fact-check/muslim-men-can-4-wives-welfare-michigan/	None	Immigration	None	David Mikkelson	None	Muslim Men Can Have 4 Wives on Welfare in Michigan?	18 September 2014	None	['Michigan', 'Arabic_language', 'Islam']
snes-00877	Blue Buffalo pet food contains unsafe and higher-than-average levels of lead.	unproven	https://www.snopes.com/fact-check/does-blue-buffalo-contain-toxic-levels-lead/	None	Critter Country	None	Kim LaCapria	None	Does Blue Buffalo Dog Food Contain Toxic Levels of Lead?	19 March 2018	None	['None']
snes-02460	Joakim Noah gave the finger to US soldiers and refused to eat with them while training at West Point.	mixture	https://www.snopes.com/fact-check/joakim-noah-west-point/	None	Sports	None	Dan Evon	None	Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them?	9 May 2017	None	['Joakim_Noah']
snes-03956	A woman saved multiple lives by using her concealed carry pistol to take down a department store shooter in Virginia.	false	https://www.snopes.com/fact-check/concealed-carry-department-store-shooter/	None	Junk News	None	David Mikkelson	None	Woman with Concealed Carry Permit Saves Multiple Lives After Stopping Department Store Shooter	25 September 2016	None	['Virginia']
snes-04812	Medal of Honor recipient Kyle Carpenter was stripped of his award for failing to complete a minor driving course while on active duty.	false	https://www.snopes.com/fact-check/kyle-carpenters-medal-of-honor-rescinded/	None	Junk News	None	Kim LaCapria	None	Kyle Carpenter’s Medal of Honor Rescinded?	4 May 2016	None	['None']
snes-05000	Actor Gabourey Sidibe has died of an "apparent asthma attack."	false	https://www.snopes.com/fact-check/gabourey-sidibe-death-hoax/	None	Uncategorized	None	Kim LaCapria	None	Gabourey Sidibe Death Hoax	28 March 2016	None	['None']
snes-04379	Senator Ted Cruz is scheduled to speak at the 2016 Democratic National Convention.	false	https://www.snopes.com/fact-check/ted-cruz-speak-dnc/	None	Junk News	None	Dan Evon	None	Ted Cruz Will Speak at Democratic National Convention	25 July 2016	None	['Ted_Cruz', 'Democratic_National_Convention']
snes-02024	Chester Bennington and Chris Cornell were murdered because they were about to reveal a ring of pedophiles.	false	https://www.snopes.com/fact-check/chester-bennington-and-chris-cornell-murdered/	None	Uncategorized	None	Bethania Palma	None	Were Chester Bennington and Chris Cornell Murdered to Cover Up a Pedophile Ring?	21 July 2017	None	['None']
snes-05760	Various rumors about the Target chain of retail stores (see below).	mostly false	https://www.snopes.com/fact-check/rumors-about-target/	None	Uncategorized	None	David Mikkelson	None	Rumors About Target	4 November 2002	None	['None']
snes-04075	Hillary Clinton wore a 'secret earpiece' at NBC's Commander-In-Chief forum.	false	https://www.snopes.com/fact-check/hillary-clinton-secret-earpiece/	None	Fauxtography	None	Dan Evon	None	Hillary Clinton Wore ‘Secret Earpiece’ During Commander-in-Chief Forum	8 September 2016	None	['NBC']
snes-05292	Muslims were banned from immigrating to the United States in 1952 under the provisions of the Immigration and Nationality Act.	false	https://www.snopes.com/fact-check/islam-banned-u-s-1952/	None	Immigration	None	Kim LaCapria	None	Were Muslims Banned from the U.S. in 1952?	8 December 2015	None	['United_States']
snes-02032	A photograph shows a scarecrow made from a human corpse.	miscaptioned	https://www.snopes.com/fact-check/scarecrow-human-body/	None	Fauxtography	None	Dan Evon	None	Does This Photograph Show a Scarecrow Made from a Human Corpse?	20 July 2017	None	['None']
snes-01897	In August 2017, the owner of a hotel in Arosa, Switzerland posted signs imposing restrictions on Jewish guests, including asking them to shower before using the hotel swimming pool.	true	https://www.snopes.com/fact-check/switzerland-hotel-jewish-guests/	None	Racial Rumors	None	Dan MacGuill	None	Did a Hotel Owner in Switzerland Ask Jewish Guests to Shower Before Using the Pool?	15 August 2017	None	['Switzerland', 'Jews']
snes-03777	Donald Trump, Jr. said that if women can't handle harassment in the workplace, they should teach kindergarten.	true	https://www.snopes.com/fact-check/trump-jr-women-workforce/	None	Politics	None	Bethania Palma	None	Did Donald Trump Jr Say ‘Women Who Can’t Handle Workplace Harassment Shouldn’t Work’?	17 October 2016	None	['None']
snes-02044	DJ Khaled broke a horse's back while riding on it, causing the horse to be put down.	false	https://www.snopes.com/fact-check/dj-khaled-break-horses-back/	None	Uncategorized	None	Dan MacGuill	None	Did DJ Khaled Break a Horse’s Back By Riding on it?	18 July 2017	None	['None']
snes-01133	A Maryland man has been indicted in connection with the Uranium One investigation.	false	https://www.snopes.com/fact-check/has-indictment-been-issued-uranium-one/	None	Politics	None	Bethania Palma	None	Has an Indictment Been Issued in the Uranium One Investigation?	24 January 2018	None	['None']
snes-04880	An 18-year-old waitress in Texas received a $1,000 tip after a man overheard her discussing her college plans with a couple at another table.	true	https://www.snopes.com/fact-check/a-tip-for-education/	None	Luck	None	Stephanie Larsen	None	A Tip for Education	21 April 2016	None	['Texas']
snes-06285	Trumped Up	false	https://www.snopes.com/fact-check/trumped-up/	None	Politics	None	Snopes Staff	None	Did Donald Trump Pay Off a Good Samaritan’s Mortgage?	3 March 1998	None	['None']
snes-04970	Bernie Sanders said that "the heritage of Castro will be felt for generations to come" during a 1985 radio interview.	false	https://www.snopes.com/fact-check/sanders-america-embrace-socialism/	None	Uncategorized	None	Dan Evon	None	Bernie Sanders Said United States Would ‘Embrace Socialism’?	1 April 2016	None	['Bernie_Sanders']
snes-00842	Did David Hogg Lie About Being on Campus During Mass Shooting?	false	https://www.snopes.com/fact-check/david-hogg-on-campus-rumor-hoax/	None	Politics	None	Brooke Binkowski	None	Did David Hogg Lie About Being on Campus During Mass Shooting?	26 March 2018	None	['None']
snes-06121	Bill Clinton was the "first pardoned federal felon ever to serve as President of the U.S."	false	https://www.snopes.com/fact-check/clinton-draft-pardon/	None	Uncategorized	None	David Mikkelson	None	Was Bill Clinton a ‘Felonious Draft Dodger’?	6 January 2003	None	['Bill_Clinton', 'United_States']
snes-03731	The 1987 film Back to the Future II correctly predicted that the Florida Marlins would win the 1997 World Series and that the Cubs would play Florida in the 2015 World Series.	false	https://www.snopes.com/fact-check/back-to-the-future-prediction/	None	Entertainment	None	David Mikkelson	None	‘Back to the Future II’ Correctly Predicted Cubs World Series Win in 2015?	25 October 1997	None	['Miami_Marlins', 'Chicago_Cubs', 'World_Series']
snes-05708	Senator Dianne Feinstein said "when the gunman realizes that nobody else is armed, he will lay down his weapons and turn himself in, that's human nature."	false	https://www.snopes.com/fact-check/gunman-gambit/	None	Media Matters	None	David Mikkelson	None	Dianne Feinstein ‘Gunman’ Quote	8 January 2015	None	['Dianne_Feinstein']
snes-04706	A little-known painting entitled "Cat Prevents House Fire" was created by Norman Rockwell.	false	https://www.snopes.com/fact-check/norman-rockwell-cat-prevents-fire/	None	Fauxtography	None	Dan Evon	None	Little-Known Norman Rockwell Painting: ‘Cat Prevents House Fire’	26 May 2016	None	['Norman_Rockwell']
snes-06261	A fire in a three-apartment dwelling killed black and Mexican families living there but spared a white couple because they were the only ones at work when the blaze started.	false	https://www.snopes.com/fact-check/fire-kill-black-mexican-families-spare-white-couple/	None	Racial Rumors	None	Snopes Staff	None	Did a Fire Kill Black and Mexican Families But Spare a White Couple?	25 September 2008	None	['Mexico']
snes-03526	A Mexican supermarket chain is adding "donations" for a U.S.-Mexico border wall to its charges.	false	https://www.snopes.com/fact-check/mexican-supermarket-taking-donations-for-trump-border-wall/	None	Uncategorized	None	Arturo Garcia	None	Mexican Supermarket Taking ‘Donations’ for Trump Border Wall	17 November 2016	None	['Mexico', 'Mexico–United_States_border']
snes-02354	The remains of a woman who went missing in 1985 were found on the property of Bill and Hillary Clinton.	false	https://www.snopes.com/fact-check/miriam-loomis-found-dead-clinton-estate/	None	Junk News	None	Dan MacGuill	None	Woman Found on Clinton Estate Dead, Tortured, and Malnourished?	24 May 2017	None	['Hillary_Rodham_Clinton', 'Bill_Clinton']
snes-05282	Donald Trump paid Sarah Palin $10 million for her endorsement.	false	https://www.snopes.com/fact-check/trump-palin-endorsement/	None	Junk News	None	Dan Evon	None	Donald Trump Didn’t Pay Sarah Palin for Her Endorsement	1 February 2016	None	['Sarah_Palin', 'Donald_Trump']
snes-00803	Can Facebook Users Receive $17,500 Each Over a 'Data Breach'?	mostly false	https://www.snopes.com/fact-check/facebook-data-breach-cash/	None	Computers	None	Kim LaCapria	None	Can Facebook Users Receive $17,500 Each Over a ‘Data Breach’?	6 April 2018	None	['None']
snes-03599	Scientists say that largest the supermoon since 1948, occurring on 14 November 2016, will trigger tidal waves and catastrophic earthquakes, wreaking havoc across the planet.	false	https://www.snopes.com/fact-check/supermoon-tidal-waves-earthquakes/	None	Science	None	Alex Kasprak	None	Rare Supermoon Is Going to Unleash Tidal Waves and Massive Earthquakes	8 November 2016	None	['None']
snes-03955	A video shows Black Lives Matter protesters in Charlotte attacking and beating a homeless vet.	false	https://www.snopes.com/fact-check/black-lives-matter-protesters-beat-homeless-vet/	None	Politics	None	Kim LaCapria	None	Black Lives Matter Protesters Beat Homeless Veteran	26 September 2016	None	['None']
snes-05558	The mass-murdering Michael Myers character in the Halloween series of films sports what was originally a Captain Kirk mask.	true	https://www.snopes.com/fact-check/william-shatner-halloween-mask/	None	Entertainment	None	Dan Evon	None	Who Was Michael Myers?	27 October 2015	None	['James_T._Kirk', 'Michael_Myers_(Halloween)']
snes-00720	Did Jane Goodall Compare Donald Trump’s Actions to Primate Dominance Behavior?	mixture	https://www.snopes.com/fact-check/jane-goodall-trump-primate-behavior/	None	Politics	None	Kim LaCapria	None	Did Jane Goodall Compare Donald Trump’s Actions to Primate Dominance Behavior?	25 April 2018	None	['None']
snes-04773	A Texas man found a dead rat in a partially consumed bottle of Dr Pepper.	unproven	https://www.snopes.com/fact-check/rat-found-in-dr-pepper-bottle/	None	Fauxtography	None	Kim LaCapria	None	Rat Found in Dr Pepper Bottle	11 May 2016	None	['Texas', 'Dr_Pepper']
snes-05247	A photograph shows a pilot taking a selfie over a football stadium.	false	https://www.snopes.com/fact-check/jet-flyover-selfie/	None	Fauxtography	None	Dan Evon	None	Pilot Takes Selfie During Stadium Flyover?	9 February 2016	None	['None']
snes-00079	Photographs document CNN's Anderson Cooper faking the depths of Hurricane Florence floodwaters.	miscaptioned	https://www.snopes.com/fact-check/anderson-cooper-hurricane/	None	Fauxtography	None	David Mikkelson	None	Is This Anderson Cooper Standing in a Ditch While Reporting Hurricane Florence?	16 September 2018	None	['Anderson_Cooper', 'CNN']
snes-04838	Indiana Governor Mike Pence signed a law banning boys from wearing "gay" colors.	false	https://www.snopes.com/fact-check/gay-color-ban-indiana-fake/	None	Junk News	None	Dan Evon	None	Indiana Governor Bans Boys from Wearing Clothes with ‘Gay’ Colors	29 April 2016	None	['Mike_Pence', 'Indiana']
snes-03918	Former FBI director James Comey benefited financially from the Clinton Foundation and was therefore biased when he investigated Hillary Clinton's e-mail scandal.	unproven	https://www.snopes.com/fact-check/comey-clinton-foundation/	None	Politics	None	Bethania Palma	None	Did James Comey Take Millions from the Clinton Foundation?	29 September 2016	None	['Clinton_Foundation', 'Hillary_Rodham_Clinton', 'Federal_Bureau_of_Investigation']
snes-00321	The Cancer Act of 1939 makes it illegal to cure cancer.	false	https://www.snopes.com/fact-check/cancer-act-1939/	None	Medical	None	Alex Kasprak	None	Does the Cancer Act of 1939 Make It Illegal to Cure Cancer?	18 July 2018	None	['None']
snes-04797	Sarah Palin wants to ban "Arabic numerals" from American schools.	false	https://www.snopes.com/fact-check/sarah-palin-arabic-numerals/	None	Junk News	None	Brooke Binkowski	None	Sarah Palin Wants ‘Arabic Numerals’ Banned From America’s Schools	6 May 2016	None	['United_States', 'Sarah_Palin']
snes-06262	Patients should request the use of thyroid guards during x-ray procedures.to head off thyroid cancer.	mixture	https://www.snopes.com/fact-check/thyroid-guards/	None	Medical	None	David Mikkelson	None	Should Patients Request Thyroid Guards During X-Rays to Prevent Thyroid Cancer?	20 March 2011	None	['None']
snes-05400	According to a body language expert, a photograph of President Obama crying reveals he is a psychopath.	false	https://www.snopes.com/fact-check/obama-crying-like-a-psychopath-meme/	None	Politicians	None	Kim LaCapria	None	Obama Crying Like a Psychopath Meme	7 January 2016	None	['Barack_Obama']
snes-02372	Does Cooking with Aluminum Foil Put You at Risk for Alzheimer’s?	mostly false	https://www.snopes.com/fact-check/cooking-with-aluminum-foil-puts-you-at-risk-for-alzheimers/	None	Science	None	Alex Kasprak	None	Does Cooking with Aluminum Foil Put You at Risk for Alzheimer’s?	17 November 2016	None	['None']
snes-04641	An image serves as photographic proof that Hillary Clinton is incontinent.	false	https://www.snopes.com/fact-check/photograph-incontinent-hillary-clinton/	None	Fauxtography	None	Dan Evon	None	Photograph of ‘Incontinent’ Hillary Clinton	7 June 2016	None	['None']
snes-02057	A line from George Orwell's novel 1984 predicts the power of smartphones.	false	https://www.snopes.com/fact-check/orwell-1984-smartphone-screens/	None	Questionable Quotes	None	Dan MacGuill	None	Did George Orwell’s ‘1984’ Predict the Power of Smartphones?	17 July 2017	None	['None']
snes-05368	A Florida man was emasculated during an attempt to engage in sexual relations with a pit bull.	false	https://www.snopes.com/fact-check/florida-man-pit-bull/	None	Junk News	None	Kim LaCapria	None	Was a Florida Man Emasculated During a Pit Bull Sex Assault?	13 January 2016	None	['None']
snes-04244	Donald Trump campaign spokeswoman Katrina Pierson was arrested for shoplifting and continued to collect unemployment benefits while working.	mixture	https://www.snopes.com/fact-check/katrina-pierson-shoplifting-unemployment/	None	Ballot Box	None	Kim LaCapria	None	Katrina Pierson Arrested for Shoplifting, Illegally Collected Unemployment?	15 August 2016	None	['None']
snes-01530	Did John McCain Cause a Fire Aboard the USS Forrestal that Killed 134 People?	false	https://www.snopes.com/fact-check/john-mccain-fire-uss-forrestal/	None	Military	None	David Emery	None	Did John McCain Cause a Fire Aboard the USS Forrestal that Killed 134 People?	24 October 2017	None	['None']
snes-03613	South Carolina exit polls asked voters whether black people had become "too demanding" on the subject of civil rights.	true	https://www.snopes.com/fact-check/civil-blights-movement/	None	Ballot Box	None	David Mikkelson	None	Offensive South Carolina Exit Poll	6 November 2014	None	['None']
snes-02933	Does a Video Show Muslim Refugees Rioting in France?	mostly false	https://www.snopes.com/fact-check/muslim-refugee-france-video/	None	Fauxtography	None	Dan Evon	None	Does a Video Show Muslim Refugees Rioting in France?	15 February 2017	None	['None']
snes-01161	Hungarian-American billionaire George Soros bribed three Democratic senators to vote for a shutdown of the U.S. federal government.	false	https://www.snopes.com/fact-check/soros-shutdown-bribe/	None	Uncategorized	None	David Mikkelson	None	Did George Soros Pay Three Democrats Millions to Vote for Government Shutdown?	22 January 2018	None	['United_States', 'George_Soros', 'Democratic_Party_(United_States)']
snes-05248	The state of Michigan has passed a law banning oral and anal sex.	mostly false	https://www.snopes.com/fact-check/michigan-senate-crime-against-nature/	None	Politicians	None	Dan Evon	None	Michigan Senate Passes Law Banning Sodomy?	9 February 2016	None	['Michigan']
snes-02878	Starbucks CEO Howard Schultz was confronted by a shareholder over the company’s support for same-sex marriage.	mixture	https://www.snopes.com/fact-check/starbucks-same-sex-marriage/	None	Politics	None	David Mikkelson	None	Starbucks and Same-Sex Marriage	26 March 2015	None	['Howard_Schultz']
snes-01854	In August 2017, Camping World CEO Marcus Lemonis told supporters of President Donald Trump not to shop at his stores.	mixture	https://www.snopes.com/fact-check/camping-world-ceo-trump/	None	Politics	None	Dan MacGuill	None	Did the CEO of Camping World Tell Trump Supporters Not to Shop at His Stores?	23 August 2017	None	['Donald_Trump', 'Camping_World']
snes-03785	A Danish woman fertilized her own eggs with the frozen sperm of her deceased father.	false	https://www.snopes.com/fact-check/daughter-fertilizes-eggs-with-fathers-sperm/	None	Junk News	None	David Mikkelson	None	Daughter Fertilizes Own Eggs with Sperm of Deceased Father	16 October 2016	None	['Denmark']
snes-01575	NASA has recently confirmed the existence of Earth’s second moon.	false	https://www.snopes.com/fact-check/nasa-confirms-existence-of-earths-second-moon/	None	Science	None	Alex Kasprak	None	NASA Confirms Existence of Earth’s Second Moon?	16 October 2017	None	['None']
snes-02429	If the vial to a mercury-containing vaccine is broken, the building must be evacuated.	false	https://www.snopes.com/fact-check/vaccine-vial-evacuating-building/	None	Science	None	Alex Kasprak	None	Would Breaking a Vaccine Vial Necessitate Evacuating a Building?	15 May 2017	None	['None']
snes-06309	The ghostly image of a boy who died in the home where Three Men and a Baby was filmed can be seen in the finished movie.	false	https://www.snopes.com/fact-check/three-men-and-a-ghost/	None	Entertainment	None	David Mikkelson	None	Does a Ghost Boy Appear in ‘Three Men and a Baby’?	2 June 1997	None	['None']
snes-05737	President Obama has decreed that the phrase "In God We Trust" be removed from all U.S. currency.	false	https://www.snopes.com/fact-check/currency-exchange-2/	None	Business	None	David Mikkelson	None	‘In God We Trust’ to be Removed from U.S. Currency	24 May 2014	None	['United_States', 'Barack_Obama', 'God']
snes-05098	Bernie Sanders called for "chemtrail reform" during a campaign stop in Nevada.	false	https://www.snopes.com/fact-check/bernie-sanders-chemtrail-reform/	None	Junk News	None	Kim LaCapria	None	Bernie Sanders on Chemtrails?	8 March 2016	None	['Nevada', 'Bernie_Sanders']
